ASL,,,,,,,,,,,,,
경기번호,구분,선수명,종족,승/패,MAP,승/패,종족,선수명,,,,,
87,,김택용,P,승,서킷브레이커,패,T,조기석,,,,,
88,,김택용,P,패,투혼,승,T,조기석,,,,,
89,,김택용,P,승,매치포인트,패,T,조기석,,,,,
90,,김명운,Z,승,서킷브레이커,패,Z,김정우,,,,,
91,,김명운,Z,패,글래디에이터,승,Z,김정우,,,,,
92,,김명운,Z,패,투혼,승,Z,김정우,,,,,
93,,김명운,Z,패,매치포인트,승,Z,김정우,,,,,
94,"대국민 
스타리그 
3-4위전",김명운,Z,패,서킷브레이커,승,T,조기석,,,,,
95,,김명운,Z,패,매치포인트,승,T,조기석,,,,,
96,,김명운,Z,패,투혼,승,T,조기석,,,,,
97,"대국민 
스타리그 
결승전",김택용,P,패,서킷브레이커,승,Z,김정우,,,,,
98,,김택용,P,패,글래디에이터,승,Z,김정우,,,,,
99,,김택용,P,승,투혼,패,Z,김정우,,,,,
100,,김택용,P,패,매치포인트,승,Z,김정우,,,,,
101,"ASL Season 1
16강",김정우,Z,패,투혼,승,P,김윤중,,,,,
102,,조기석,T,승,서킷브레이커,패,T,임진묵,,,,,
103,,김명운,Z,패,오버워치,승,T,이영호,,,,,
104,,김성현,T,승,태백산맥,패,T,윤찬희,,,,,
105,,윤용태,P,승,투혼,패,T,최호선,,,,,
106,,임홍규,Z,패,서킷브레이커,승,P,김재훈,,,,,
107,,박성균,T,승,오버워치,패,T,염보성,,,,,
108,,도재욱,P,패,태백산맥,승,Z,조일장,,,,,
109,,김정우,Z,승,서킷브레이커,패,P,윤용태,,,,,
110,,조기석,T,승,투혼,패,Z,임홍규,,,,,
111,,김명운,Z,승,태백산맥,패,T,박성균,,,,,
112,,김성현,T,승,오버워치,패,P,도재욱,,,,,
113,,김윤중,P,패,서킷브레이커,승,T,최호선,,,,,
114,,임진묵,T,승,투혼,패,P,김재훈,,,,,
115,,이영호,T,패,태백산맥,승,T,염보성,,,,,
116,,윤찬희,T,패,오버워치,승,Z,조일장,,,,,
117,,김정우,Z,패,오버워치,승,T,최호선,,,,,
118,,조기석,T,패,태백산맥,승,P,김재훈,,,,,
119,,김명운,Z,패,서킷브레이커,승,T,염보성,,,,,
120,,김성현,T,승,투혼,패,Z,조일장,,,,,
121,,김윤중,P,승,태백산맥,패,P,윤용태,,,,,
