"Winner","Race","Loser","Race","Map","Date","Prize","Double Chance","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Pole Star","2025-07-12","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Radeon","2025-07-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","DeathValley","2025-07-12","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Dominator","2025-07-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Pole Star","2025-07-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","DeathValley","2025-07-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이재호","T","도재욱","P","Metropolis","2025-07-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이재호","T","Dominator","2025-07-12","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이제동","Z","Dominator","2025-07-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이제동","Z","Radeon","2025-07-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이제동","Z","도재욱","P","déjà vu","2025-07-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이제동","Z","도재욱","P","Metropolis","2025-07-29","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이제동","Z","Pole Star","2025-07-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"이제동","Z","도재욱","P","déjà vu","2025-07-29","￦100,000","￦100,000","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이제동","Z","Metropolis","2025-07-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이제동","Z","Radeon","2025-07-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
"도재욱","P","이제동","Z","Pole Star","2025-07-29","￦100,000","","","","","","","","","","","","","","","","","","","",""
